scenario,label,transaction_rate,byte_rate,free_heap,heap_delta,loop_avg_ms,loop_max_ms,loop_jitter_ms,wifi_rssi,avg_inter_arrival_ms,socket_errors
NORMAL,0,13.5946,326.27,320884.0,0.0,0.0085,10.15,0.2271,-127.0,49.764,0.0
NORMAL,0,0.0,0.0,320884.0,0.0,9.9925,9.993,0.0115,-127.0,5000.0,0.0
NORMAL,0,0.0,0.0,320884.0,0.0,9.9929,9.994,0.0031,-127.0,5000.0,0.0
NORMAL,0,0.0,0.0,320884.0,0.0,9.9925,9.993,0.0099,-127.0,5000.0,0.0
NORMAL,0,0.0,0.0,320884.0,0.0,9.9926,9.994,0.0094,-127.0,5000.0,0.0
NORMAL,0,0.0,0.0,320884.0,0.0,9.9931,10.051,0.0026,-127.0,5000.0,0.0
NORMAL,0,2.0,192.0,320884.0,0.0,4.9979,10.057,0.1602,-127.0,401.027,0.0
NORMAL,0,2.0,192.0,320884.0,0.0,4.9929,4.993,0.0042,-127.0,401.007,0.0
NORMAL,0,2.0,192.0,320884.0,0.0,4.993,5.024,0.001,-127.0,401.024,0.0
NORMAL,0,2.0,192.0,320884.0,0.0,4.9928,4.994,0.0067,-127.0,400.999,0.0
NORMAL,0,2.0,192.0,320884.0,0.0,4.9929,4.994,0.0038,-127.0,401.008,0.0
NORMAL,0,2.0,192.0,320884.0,0.0,4.9929,4.994,0.0034,-127.0,401.01,0.0
NORMAL,0,2.4,384.0,320884.0,0.0,4.9929,5.058,0.0035,-127.0,338.772,0.0
NORMAL,0,3.2,672.0,320884.0,0.0,4.9929,4.993,0.0032,-127.0,310.944,0.0
NORMAL,0,2.4,422.4,320884.0,0.0,4.993,5.071,0.0025,-127.0,376.274,0.0
NORMAL,0,2.4,633.6,320884.0,0.0,4.993,5.02,0.0009,-127.0,351.269,0.0
NORMAL,0,2.8,768.0,320884.0,0.0,4.993,4.994,0.0014,-127.0,306.083,0.0
NORMAL,0,2.4,422.4,320884.0,24.0,4.993,5.025,0.001,-127.0,370.436,0.0
ANOMALY,1,40.0,7680.0,320884.0,0.0,0.0034,0.209,0.0031,-127.0,24.784,0.0
ANOMALY,1,40.0,7680.0,320884.0,0.0,0.0034,0.209,0.0031,-127.0,24.77,0.0
ANOMALY,1,40.0,7680.0,320884.0,0.0,0.0034,0.208,0.0031,-127.0,24.755,0.0
ANOMALY,1,40.4,7756.8,320884.0,0.0,0.0034,0.243,0.0031,-127.0,24.749,0.0
ANOMALY,1,40.0,7680.0,320884.0,0.0,0.0034,0.209,0.0031,-127.0,24.984,0.0
ANOMALY,1,15.9872,3069.54,320884.0,0.0,0.0198,20.316,0.5731,-127.0,24.93,0.0
ANOMALY,1,0.0,0.0,320884.0,0.0,19.9942,20.318,0.0206,-127.0,5000.0,0.0
ANOMALY,1,0.0,0.0,320884.0,0.0,19.9932,20.06,0.0043,-127.0,5000.0,0.0
ANOMALY,1,0.0,0.0,320884.0,0.0,19.9934,20.113,0.0076,-127.0,5000.0,0.0
ANOMALY,1,0.0,0.0,320884.0,0.0,19.9928,19.994,0.0036,-127.0,5000.0,0.0
ANOMALY,1,23.9569,4599.72,320884.0,0.0,12.034,12.21,0.0718,-127.0,41.644,0.0
ANOMALY,1,23.5576,4523.06,320884.0,0.0,12.0335,12.216,0.0713,-127.0,42.042,0.0
ANOMALY,1,23.5576,4523.06,320884.0,0.0,12.0335,12.216,0.0713,-127.0,41.737,0.0
ANOMALY,1,23.9569,4599.72,320884.0,0.0,12.0339,12.243,0.0721,-127.0,41.443,0.0
ANOMALY,1,23.5576,4523.06,320884.0,0.0,12.0334,12.217,0.0713,-127.0,41.838,0.0
NORMAL,0,9.5981,1842.83,320884.0,0.0,10.7237,12.216,0.9811,-127.0,40.642,0.0
NORMAL,0,0.0,0.0,320884.0,0.0,9.9925,9.993,0.0102,-127.0,5000.0,0.0
NORMAL,0,0.0,0.0,320884.0,0.0,9.9928,9.994,0.0037,-127.0,5000.0,0.0
NORMAL,0,0.0,0.0,320884.0,0.0,9.9927,9.994,0.0073,-127.0,5000.0,0.0
