Feature,Dataset / Source,ESP32 Compatible?,Measurement Method on ESP32,Category
flow_duration,CICIoT2023,Yes (Derivable),Measure connection lifetime (socket open to close) using millis() / micros(),B
Duration,CICIoT2023,Yes (Derivable),Duration of active network session/window,B
Rate,CICIoT2023,Yes (Derivable),Compute (packets_tx + packets_rx) / window_seconds,B
Srate,CICIoT2023,Yes (Derivable),Compute packets_tx / window_seconds from endpoint application layer,B
Drate,CICIoT2023,Yes (Derivable),Compute packets_rx / window_seconds arriving at endpoint,B
IAT,CICIoT2023,Yes (Derivable),Inter-Arrival Time between consecutive incoming/outgoing packets via micros() delta,B
Number,CICIoT2023,Yes (Direct),Packet count within current window,A
Header_Length,CICIoT2023,Partial / Sniffer Only,"Available if promiscuous mode/raw L2/L3 sniffer active, but high CPU/RAM cost",C
Protocol Type,CICIoT2023,Yes (Direct),Endpoint socket type known directly (TCP vs UDP),A
fin_flag_number,CICIoT2023,No / External,Requires parsing L4 TCP headers; hidden inside LwIP stack in standard Arduino Client,C
syn_flag_number,CICIoT2023,No / External,TCP handshake flags handled internally by LwIP / ESP-IDF,C
rst_flag_number,CICIoT2023,No / External,Requires raw packet inspection or LwIP TCP callback instrumentation,C
psh_flag_number,CICIoT2023,No / External,Requires raw packet inspection,C
ack_flag_number,CICIoT2023,No / External,Requires raw packet inspection,C
ece_flag_number,CICIoT2023,No / External,Requires raw packet inspection,C
cwr_flag_number,CICIoT2023,No / External,Requires raw packet inspection,C
ack_count,CICIoT2023,No / External,Requires tracking TCP ACK stream across raw frames,C
syn_count,CICIoT2023,Derivable (Proxy),"Endpoint can count failed/outgoing connect() attempts, but cannot count network-wide SYN packets",B
fin_count,CICIoT2023,No / External,Handled internally by TCP stack,C
urg_count,CICIoT2023,No / External,Rare TCP flag; hidden by TCP stack,C
rst_count,CICIoT2023,Derivable (Proxy),Endpoint can track socket disconnects / connection resets via client.connected(),B
HTTP,CICIoT2023,Yes (Direct),Endpoint knows if current request/socket is HTTP,A
HTTPS,CICIoT2023,Yes (Direct),Endpoint knows if TLS/HTTPS (WiFiClientSecure) is active,A
DNS,CICIoT2023,Yes (Direct),Endpoint tracks DNS lookup calls / resolution duration,A
Telnet,CICIoT2023,Constant (0.0) / Irrelevant,Telnet disabled / zero variance in dataset,D
