feature,meaning,dtype,packet_flow_derived,esp32_direct,esp32_derivable,requires_promiscuous,requires_network_monitor,leakage_risk,in_set_a,in_set_b,in_set_c,esp32_equivalent,measurement_method,confidence
flow_duration,Duration of network flow in seconds,float64,Yes,No,Yes,No,No,None,Yes,Yes,Yes,connection_duration_ms,millis() delta between client.connect() and client.stop(),HIGH
Header_Length,Cumulative length of packet headers in flow,float64,Yes,No,No,Yes,Yes,None,Yes,No,No,NOT MAPPABLE,Requires L2/L3 frame inspection inside LwIP pbuf; not exposed in Arduino Client API,NOT MAPPABLE
Protocol Type,"Assigned IP protocol number (e.g. 6=TCP, 17=UDP)",float64,Yes,Yes,Yes,No,No,None,Yes,Yes,Yes,socket_protocol_id,"Constant based on application socket (WiFiClient=6, WiFiUDP=17)",HIGH
Duration,Duration of observation window/connection,float64,Yes,Yes,Yes,No,No,None,Yes,Yes,Yes,window_duration_s,(current_millis - window_start_millis) / 1000.0,HIGH
Rate,Packets per second over flow window,float64,Yes,No,Yes,No,No,None,Yes,Yes,Yes,packet_rate,(packets_tx + packets_rx) / window_seconds,HIGH
Srate,Source-to-destination packet rate per second,float64,Yes,No,Yes,No,No,None,Yes,Yes,Yes,tx_rate,packets_tx / window_seconds from client socket calls,HIGH
Drate,Destination-to-source packet rate per second,float64,Yes,No,Yes,No,No,None,Yes,Yes,Yes,rx_rate,packets_rx / window_seconds from client.available() data chunks,HIGH
fin_flag_number,Proportion or presence of FIN flags in flow,float64,Yes,No,No,Yes,Yes,None,Yes,No,No,NOT MAPPABLE,TCP teardown handled internally by LwIP stack,NOT MAPPABLE
syn_flag_number,Proportion or presence of SYN flags in flow,float64,Yes,No,No,Yes,Yes,None,Yes,Yes,No,connect_attempt_flag,"Proxied by client.connect() calls, but external SYN flood cannot be seen",LOW
rst_flag_number,Proportion or presence of RST flags in flow,float64,Yes,No,No,Yes,Yes,None,Yes,Yes,No,socket_reset_flag,"Inferred from sudden socket disconnects, but raw flag inaccessible",LOW
psh_flag_number,Presence of TCP PSH flags,float64,Yes,No,No,Yes,Yes,None,Yes,No,No,NOT MAPPABLE,L4 TCP header inspection required,NOT MAPPABLE
