feature,rf_importance,dt_importance,lr_abs_coefficient,in_network_observable,in_esp32_endpoint
rst_count,0.229517,0.941121,5.321698,Yes,No
urg_count,0.149917,0.000976,0.764606,No,No
Variance,0.110027,0.002943,3.467373,Yes,No
Tot size,0.066426,0.0,0.461228,Yes,Yes
AVG,0.066339,0.0,0.366325,Yes,Yes
Radius,0.065932,5.7e-05,2.338717,No,No
Magnitue,0.056156,1.5e-05,0.030816,No,No
Std,0.045192,0.0,2.204595,Yes,Yes
flow_duration,0.036263,0.012214,1.156863,Yes,Yes
Header_Length,0.031476,0.000249,3.02032,No,No
Min,0.030974,0.000297,0.00045,Yes,Yes
Covariance,0.029141,0.0,2.935535,No,No
IAT,0.016613,0.025539,0.127776,Yes,Yes
HTTPS,0.010005,0.0,0.814785,No,No
Protocol Type,0.009341,0.001762,0.68559,Yes,Yes
Duration,0.009236,9.5e-05,0.659523,Yes,Yes
Weight,0.009169,0.0032,0.301559,No,No
TCP,0.005166,0.0,0.692975,Yes,No
Number,0.00497,0.002956,0.255351,Yes,Yes
Tot sum,0.00445,3.9e-05,0.094146,Yes,Yes
ack_flag_number,0.003027,0.0,1.1965,Yes,No
Rate,0.002424,0.0,0.05736,Yes,Yes
Srate,0.00186,0.0,0.05736,Yes,Yes
Max,0.001773,0.00477,3.00646,Yes,Yes
fin_count,0.000947,0.001269,0.046822,Yes,No
ICMP,0.000911,0.0,2.426247,Yes,No
syn_count,0.000603,0.0,0.294255,Yes,No
UDP,0.000594,0.0,0.170736,Yes,No
syn_flag_number,0.000421,0.001628,1.444194,Yes,No
ack_count,0.000337,1e-05,0.175898,Yes,No
HTTP,0.000286,0.000859,0.312167,No,No
rst_flag_number,0.000245,0.0,1.824822,Yes,No
psh_flag_number,5.3e-05,0.0,0.395239,No,No
IPv,4.2e-05,0.0,0.001558,No,No
ARP,4.1e-05,0.0,0.066061,No,No
fin_flag_number,3.6e-05,0.0,0.172417,No,No
DNS,3.6e-05,0.0,0.4379,No,No
LLC,2.9e-05,0.0,0.001558,No,No
SSH,2.8e-05,0.0,0.109032,No,No
ece_flag_number,0.0,0.0,0.0,No,No
DHCP,0.0,0.0,0.0,No,No
Drate,0.0,0.0,0.001235,Yes,Yes
cwr_flag_number,0.0,0.0,0.0,No,No
SMTP,0.0,0.0,0.0,No,No
