feature_set,feature_count,model,accuracy,precision,recall,f1,fpr,fnr,tp,tn,fp,fn,train_time_s,infer_time_ms_per_sample,param_count,model_size_kb,complexity_notes
SET_A_FULL_PUBLIC,44,Logistic Regression,0.97867,0.99205,0.96507,0.97837,0.00773,0.03493,7238,7442,58,262,0.247,0.0,45,1.04,45 weights (O(N) multiply-adds)
SET_A_FULL_PUBLIC,44,Decision Tree,0.99293,0.99892,0.98693,0.99289,0.00107,0.01307,7402,7492,8,98,0.442,0.0001,93,8.38,93 tree nodes (O(depth) comparisons)
SET_A_FULL_PUBLIC,44,Random Forest,0.99087,1.0,0.98173,0.99078,0.0,0.01827,7363,7500,0,137,0.708,0.0015,16960,1341.51,"50 trees, 16960 total nodes"
SET_A_FULL_PUBLIC,44,Small Neural Net (MLP),0.98907,0.99959,0.97853,0.98895,0.0004,0.02147,7339,7497,3,161,1.312,0.0001,1985,54.33,"1985 weights ((32, 16) MLP)"
SET_B_NETWORK_OBSERVABLE,25,Logistic Regression,0.97667,0.9908,0.96227,0.97633,0.00893,0.03773,7217,7433,67,283,0.084,0.0,26,0.88,26 weights (O(N) multiply-adds)
SET_B_NETWORK_OBSERVABLE,25,Decision Tree,0.98987,0.99905,0.98067,0.98977,0.00093,0.01933,7355,7493,7,145,0.313,0.0,91,8.23,91 tree nodes (O(depth) comparisons)
SET_B_NETWORK_OBSERVABLE,25,Random Forest,0.99173,0.99973,0.98373,0.99167,0.00027,0.01627,7378,7498,2,122,0.5,0.0009,15314,1212.89,"50 trees, 15314 total nodes"
SET_B_NETWORK_OBSERVABLE,25,Small Neural Net (MLP),0.98767,0.99769,0.9776,0.98754,0.00227,0.0224,7332,7483,17,168,1.433,0.0001,1377,40.19,"1377 weights ((32, 16) MLP)"
SET_C_ESP32_ENDPOINT,14,Logistic Regression,0.92453,0.89721,0.95893,0.92704,0.10987,0.04107,7192,6676,824,308,0.128,0.0,15,0.8,15 weights (O(N) multiply-adds)
SET_C_ESP32_ENDPOINT,14,Decision Tree,0.992,0.99851,0.98547,0.99195,0.00147,0.01453,7391,7489,11,109,0.233,0.0,117,10.26,117 tree nodes (O(depth) comparisons)
SET_C_ESP32_ENDPOINT,14,Random Forest,0.99273,0.99986,0.9856,0.99268,0.00013,0.0144,7392,7499,1,108,0.496,0.0009,18766,1482.63,"50 trees, 18766 total nodes"
SET_C_ESP32_ENDPOINT,14,Small Neural Net (MLP),0.98607,0.99986,0.97227,0.98587,0.00013,0.02773,7292,7499,1,208,0.515,0.0001,1025,31.44,"1025 weights ((32, 16) MLP)"
